url,type,originalFileBytes,decodedResourceBytes,downloadedBytes,width,height,initial,position,isLcp
"http://localhost:3100/","Document",0,174085,16738,"","",true,"not applicable",false
"http://localhost:3100/_next/static/media/01e4147cff8141ee-s.p.3huc2loe0ie8a.woff2","Font","",37776,38076,"","",true,"not applicable",false
"http://localhost:3100/_next/static/media/0c795a286deabae8-s.p.3vm0tq4e-zz_5.woff2","Font","",34560,34860,"","",true,"not applicable",false
"http://localhost:3100/_next/static/media/1b99372b3eaef0c8-s.p.1gsd1jahc5dg_.woff2","Font","",32228,32528,"","",true,"not applicable",false
"http://localhost:3100/_next/static/media/2a65768255d6b625-s.p.3u4lli0-axodc.woff2","Font","",38460,38760,"","",true,"not applicable",false
"http://localhost:3100/_next/static/media/83afe278b6a6bb3c-s.p.2bn3s6zvc0dyp.woff2","Font","",48432,48732,"","",true,"not applicable",false
"http://localhost:3100/_next/static/media/8d05cfa5faa8406c-s.p.1s123piy9_v1m.woff2","Font","",9552,9851,"","",true,"not applicable",false
"http://localhost:3100/_next/static/media/dc0d9adbac686440-s.p.3cik_s2si-ft-.woff2","Font","",9464,9763,"","",true,"not applicable",false
"http://localhost:3100/_next/static/media/fba5a26ea33df6a3-s.p.18rizl4rsrl42.woff2","Font","",27272,27572,"","",true,"not applicable",false
"http://localhost:3100/images/Leonidaz_Logo.webp","Image",34432,34432,34714,866,288,true,"above fold",false
"http://localhost:3100/images/pharmacy.webp","Image",204760,204760,205044,1536,1024,true,"below fold",false
"http://localhost:3100/images/products/ADOL%20FORTE.webp","Image",520398,520398,520682,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ALTIZ%20M%20SYP.webp","Image",632464,632464,632748,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ALTIZ%20M%20TAB.webp","Image",488198,488198,488482,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ALTIZ%20SYP.webp","Image",669792,669792,670076,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ALTIZ.webp","Image",556770,556770,557054,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ANTIPROST%20D.webp","Image",367324,367324,367608,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ASCOFEROL1.webp","Image",415154,415154,415438,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/COMBIGLIPT%2050.webp","Image",546466,546466,546750,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/_next/static/chunks/0zjnjj10hwcc3.css","Stylesheet","",89164,14737,"","",true,"not applicable",false
"http://localhost:3100/_next/static/chunks/3jvkbm-wxvaor.js","Script","",23985,7879,"","",true,"not applicable",false
"http://localhost:3100/_next/static/chunks/27jktro2p5rq9.js","Script","",44414,9633,"","",true,"not applicable",false
